מעסיק	פקודה חלים עליו; (5)  לבדוק כל פנקס, תעודה, דין וחשבון או מסמך אחר, שניהולם, קיומם או הגשמתם היא חובה על פי חיקוק שביצועו בידי שר העבודה, ולהעתיק מהם; (תיקון     מס' 2)      תשמ"ב-1982
מעסיק	חוק זה או בתקנות. מיום 21.5.1982 תיקון מס' 2 ס"ח תשמ"ב מס' 1051
מעסיק	הוראת שעה), התשע"ט-2018
מעסיק	הוראה כאמור לגבי מפעל גז כמשמעותו בסעיף 8ד(ח) תינתן לאחר התייעצות עם שר האנרגיה והתשתית. (תיקון     מס' 11 – הוראת שעה) תשע"ט-2018
מעסיק	פקודת בתי-חרושת, 1946 פקודת הבטיחות בעבודה [נוסח חדש], תש"ל-1970
מעסיק	תקנות Go 12 סעיף 43א  אגרות Go 12 סעיף 44  הוראות מעבר Go 12   חוק ארגון הפיקוח על העבודה, תשי"ד-1954
מעסיק	הוראה על פי סעיף 25(א), דינו – קנס 500 לירות. העברה מכהונה (תיקון מס' 8)      תשע"ד-2014
מעסיק	הוראות סעיף 6א(ג), דין המחזיק במקום העבודה – מאסר שנתיים או הקנס הקבוע בסעיף 61(א)(3) לחוק העונשין, התשל"ז-1977
מעסיק	חוק להחלפת המונח מעביד (תיקוני חקיקה), תשע"ד-2014
מעסיק	פקודת הבטיחות בעבודה [נוסח חדש], התש"ל-1970
מעסיק	הוראות סעיף 8ג יחולו בשינויים המחוייבים. מיום 21.5.1982 תיקון מס' 2 ס"ח תשמ"ב מס' 1051
מעסיק	תקנות מס מקביל (שירותי בריאות בעבודה), תשל"ג-1973
מעסיק	הוראות סעיף 6א(ג), דין המחזיק במקום העבודה – מאסר שנתיים או הקנס הקבוע בסעיף 61(א)(3) לחוק העונשין, התשל"ז-1977
מעסיק	חוק ביטוח בריאות ממלכתי, תשנ"ד-1994
מעסיק	הוראות בדבר דרכי סיוע של המעסיק לועדת בטיחות במילוי תפקידיה; תקנות כאמור יכול שיהיו כלליות או לפי סוגי מפעלים, ענפי עבודה, מקצועות או אזורים. מיום 21.5.1982 תיקון מס' 2 ס"ח תשמ"ב מס' 1051
מעסיק	הוראות הבטיחות (תיקון מס' 11 – הוראת שעה)     תשע"ט-2018
מעסיק	תקנה 2(א) לתקנות הבטיחות בעבודה (עגורנאים, מפעילי מכונות הרמה אחרות ואתתים), התשנ"ג-1992
מעסיק	הוראות מעבר (תיקון מס' 5)      תשנ"ז-1997
מעסיק	הוראות סעיף זה לא יחולו לגבי מקום עבודה שעיקר עיסוקו ייצור, מילוי, החסנה, הולכה, הובלה או שיווק של גז (להלן – מפעל גז). מיום 1.1.1983 תיקון מס' 2 ס"ח תשמ"ב מס' 1051
מעסיק	תקנות 2, 3, 6 ו-7 לתקנות ארגון הפיקוח על העבודה (מסירת מידע והדרכת עובדים), התשנ"ט-1999
